Id	Description	Price	Prime	URL	Number of stars
40	HP, Pc Desktop Pronto All'Uso, Computer Pc Fisso Intel i7, Ram 16Gb, SSD 512Gb, Pacchetto Libre Office, Windows 10 Pro (Ricondizionato)	138.0	False	https://www.amazon.it/dp/B0BT1Q51TP	4.3
41	SGIN 15 Pollici PC Portatile Windows 11 Home, 4GB RAM 512GB SSD ROM PC portatile, Celeron Dual-core (fino a 2,8 GHz), HD IPS, USB 3.0, WiFi Dual Bande, Bluetooth 4.2	189.99	True	https://www.amazon.it/dp/B0D8TCT35S	4.3
42	BMAX PC Portatile 14 Pollice Full HD, 8GB DDR4 256GB SSD Laptop, Pentium Silver N5000 Processori Quad Core Computer Portatile S14 Pro, Bluetooth 5.0, 1920x1080, 2.4G/5G WiFi, USB 3.0, Mini HDMI	229.99	True	https://www.amazon.it/dp/B0DDCDJFF8	4.5
43	STILORD 'Beau' Borsa Computer 15.6 Pollici Pelle Vintage Borsetta per Uomo e Donna Cuoio Autentica Fodera Pc 15,6 Pollici MacBook Pro Custodia	99.9	False	https://www.amazon.it/dp/B0CWLQSBBV	4.8
44	Portatile con touchscreen, 15,6 pollici HD, custodia interamente in metallo, processore quad-core N5095 con 2,9 GHz, 16GBDDR4 e 256GB SSD, riconoscimento delle impronte digitali, 1920 * 1080, Win11Pro	379.99	True	https://www.amazon.it/dp/B0CCD6YRCZ	3.9
45	MOSISO Borsa Porta Tracolla PC Laptop,15-15,6 Pollici Computer Borsa Compatibile con MacBook Pro 16,HP,Dell,Lenovo,Asus Notebook,Lato Open Messenger Borsa con 4 Cerniera Tasche&Handle,Grigio	39.99	True	https://www.amazon.it/dp/B0BP7RLGDC	4.6
46	Amazon Basics, custodia protettiva per laptop, per una dimensione dello schermo di 15.6 Pollici, Grigio	18.04	False	https://www.amazon.it/dp/B01EFMI9YC	4.6
47	AIPIE Custodia pc 15,6 16 Pollici 2 Scomparti Borsa per Computer con Una Maniglia 40cm x 28,5cm Notebook Laptop Cover Portatile Brosa compatibile con MacBook, Acer, Asus, Dell, Lenovo, HP, MSI, SGIN	16.99	False	https://www.amazon.it/dp/B0BBMDSFVM	4.6
48	MOSISO Laptop Custodia PC Portatil Compatibile con MacBook Air 13 M3 M2 M1 A2337 A1932 2018-2024/Pro 13 M2 M1 A2338 A2251 A2289 A2159 A1989 A1706,Neoprene Borsa con Piccolo Case, Nero	22.49	False	https://www.amazon.it/dp/B06XCWC9JQ	4.4
49	HP POSTAZIONE COMPLETA PC 8200 I5 3,1 Ghz 8GB RAM 240GB SSD 10X PORTE USB - key WI-FI + MONITOR Dell 2014HF + Tastiera e Mouse TRUST (Ricondizionato)	173.0	True	https://www.amazon.it/dp/B085TR8PJ1	4.0
50	"PC Gaming Computer Fisso Desktop Completo GT1030 - Tastiera - Mouse - Cuffie - Windows 11 PRO - WiFi USB - HDMI (CPU: I7 - RAM 32GB -SSD 480 GB, MONITOR 27"")"	779.9	False	https://www.amazon.it/dp/B0CCJXFDN5	3.9
51	Cuffie USB per Computer 2.5M,ACAGET PC Gaming Cuffie con Filo Stereo HiFi Semi In Ear Cuffie PC USB con Microfono Cancellazione del Rumore Controllo del Volume per PS4/PC/Mac/Laptop/Chromebook/Windows	13.99	False	https://www.amazon.it/dp/B09KKRJ5XR	4.0
52	"Mixroom Zaino Porta PC Antifurto per Computer Portatile Laptop Lavoro Borsa Notebook Fino 15"" con Attacco USB e Foro Auricolare Z4"	22.9	False	https://www.amazon.it/dp/B09K5NX1YL	4.2
53	Lenovo IdeaPad Slim 3 Notebook 15,6” FHD (1920x1080) - AMD Ryzen 5 7520U, 16GB RAM, 512GB SSD, Windows 11 Home, WiFi 6 - Arctic Grey, Esclusiva Amazon	569.0	True	https://www.amazon.it/dp/B0CK8D4G2G	4.4
54	Greed® Ultra V2 PC fisso Intel Core i9 10900F - Desktop veloce + computer per ufficio e casa con 5,2 GHz - 32 GB RAM - Disco SSD da 1 TB + HDD da 1 TB - DVD+RW - USB3.1 - Wi-Fi, W11 Pro	739.9	False	https://www.amazon.it/dp/B0C4YQP8VG	4.1
55	"NIDOO 13,3 Pollici Borsa a Tracolla Messenger Porta PC Portatile Protettiva Custodia per 13"" 13.6"" MacBook Air Pro/ 12.9"" iPad Pro/Surface Laptop Go 3/ Surface Pro 9 10 X/XPS 13/ThinkPad Z13 X13 L13"	23.99	False	https://www.amazon.it/dp/B0DDPNMFKR	3.8
56	Enloffi Custodia Borsa 14 Pollici Custodia per Laptop Impermeabile Antiurto Caso Protettiva Compatibile con MacBook Pro HP Dell Lenovo Asus Borsa da Trasporto con Tasca Accessoria, Nero	19.49	False	https://www.amazon.it/dp/B0C4PQHRMB	4.6
57	Lenovo PC Computer ThinkCentre M910S SFF Intel Core i5-6400 Ram 8GB SSD 240GB Windows 10 Pro (Ricondizionato)	125.0	True	https://www.amazon.it/dp/B0B94K51N9	4.4
58	"ASUS Vivobook 15 F1504ZA#B086ZRTQH5, Notebook con Monitor da 15,6"" FHD Anti-Glare, 60Hz, Intel Core 12ma gen i5-1235U, RAM 16GB, 512GB SSD PCIE, grafica Intel Iris Xe, WIN 11 HOME, Argento"	529.0	True	https://www.amazon.it/dp/B086ZRTQH5	4.2
59	"HP 250 G9, Notebook Computer Portatile, Intel N4500, Display HD da 15,6"", Ram 8 Gb DDR4, SSD NVMe 256 Gb, W11 Pro"	255.0	True	https://www.amazon.it/dp/B0D9YMLQBV	4.3
60	"MSI Modern 14 C12M-203IT, Notebook 14"" Full-HD 60Hz, Intel I3-1215U, Intel UHD, 8GB RAM DDR4, 512GB SSD M.2 PCIe 3, WiFi 6, Win 11 Home [Layout e Garanzia ITA]"	399.0	True	https://www.amazon.it/dp/B0B21RWS8K	4.4
61	CSL-Computer TITANWOLF - Tappetino per mouse XXL Speed Gaming Titanwolf mappa del mondo 900 x 400 mm – XXL Mousepad – Sottomano grande dimensione – migliora la precisione e la velocità	13.95	False	https://www.amazon.it/dp/B07LFHCFH8	4.8
