terms,Id,tf_idf
bluetooth4.2,137,4.832305758571839
hdmi,140,1.8365734850178477
computer,145,0.6201781606933544
1000,172,4.832305758571839
viaggiare,173,5.5254529391317835
lettore,179,3.733693469903729
dpi,181,3.9160150266976834
g6,190,4.832305758571839
ambidestro,191,5.5254529391317835
741727,192,5.5254529391317835
3mm,196,5.5254529391317835
11,215,1.276957697082425
switch,218,7.832030053395367
win,225,2.1932484289565797
trust,229,3.3282283617955644
bamx,241,5.5254529391317835
vga,243,3.1275576663334133
filo,245,3.9160150266976834
pc,8,0.3854682917328297
adesivi,13,4.426840650463674
espansione,23,4.426840650463674
air,47,3.0405462893437836
16,48,1.9990924145156226
2.9,50,5.5254529391317835
11,56,1.276957697082425
11,59,1.276957697082425
usb,68,1.3357981971053583
ssd,72,0.6579184886762015
512,84,3.1275576663334133
15.6,89,1.8365734850178477
11,91,1.276957697082425
desktop,108,1.8618912930021374
ddr4,114,2.0597170363320574
vega,114,5.5254529391317835
gb,119,2.6118904679113544
zaino,153,4.343746485678193
d,158,4.139158578011894
notebook,160,1.0145934326149337
ricevitore,170,4.426840650463674
dimensioni,174,4.832305758571839
hp,178,1.4311083769096833
matebook,180,5.5254529391317835
colore,188,3.733693469903729
borsa,197,1.5001012483966345
dimmerabile,198,5.5254529391317835
b0d5rglwzl,215,5.5254529391317835
sottile,217,3.9160150266976834
ssd,236,0.6579184886762015
display,5,1.7877833208484155
nvme,10,3.446011397451948
tastiera,13,1.8618912930021374
ssd,14,0.6579184886762015
5g,22,2.752864216892003
8210y,28,5.5254529391317835
portatile,32,0.5696258815305232
ram,43,0.8249725733393676
sconfitta,48,5.5254529391317835
256,50,3.3282283617955644
ssd,52,0.6579184886762015
i7,54,2.347399108783838
usb,60,1.3357981971053583
4,62,2.434410485773468
256gb,80,2.267356401110302
notebook,84,1.0145934326149337
pc,89,0.19273414586641485
lenovo,93,2.0914657346466377
uhd,116,2.886395609516525
40,128,5.5254529391317835
up,139,4.139158578011894
borsa,176,3.000202496793269
4,185,2.434410485773468
usb,198,6.6789909855267915
nero,201,1.6968115426426889
lpddr5,225,4.426840650463674
incluso,231,3.9160150266976834
2014,237,5.5254529391317835
ufficio,245,2.529720665577793
notebook,4,1.0145934326149337
sva,15,4.832305758571839
portatile,22,0.5696258815305232
win11,23,4.139158578011894
11,53,1.276957697082425
wireless,74,2.6350811812356194
pro,85,1.1434263044579023
ram,86,0.8249725733393676
15,87,1.5742092205503564
16gb,89,1.6134299337036377
tastiera,102,1.8618912930021374
dual,112,2.817402738029574
8mp,118,5.5254529391317835
unica,124,5.5254529391317835
portadocumenti,126,5.5254529391317835
sd,127,4.139158578011894
compatta,128,5.5254529391317835
dvd,151,3.2228678461377385
affari,153,3.733693469903729
portatile,154,0.5696258815305232
teal,160,5.5254529391317835
portatile,169,0.5696258815305232
zaino,177,1.4479154952260644
uomo,177,2.3899587232026342
7,179,3.3282283617955644
2.31a,190,4.832305758571839
caso,194,4.832305758571839
330,195,5.5254529391317835
fili,205,3.9160150266976834
wifi,219,1.7412633052135227
blu,233,3.446011397451948
protettiva,240,3.446011397451948
4k,241,3.0405462893437836
eye,243,4.832305758571839
altoparlanti,248,6.892022794903896
mouse,5,1.8878667794053983
notebook,7,1.0145934326149337
tastiera,9,1.8618912930021374
pacchetto,20,3.2228678461377385
chromebook,27,3.1275576663334133
ips,28,3.1275576663334133
mouse,29,1.8878667794053983
pollici,32,1.0595448204772002
libre,42,2.6922395950755678
g3,52,4.426840650463674
nvme,56,3.446011397451948
4gb,59,3.446011397451948
cb314,62,5.5254529391317835
64,62,4.832305758571839
argento,66,2.886395609516525
11,74,1.276957697082425
laptop,87,0.7805208107685337
gb,95,1.3059452339556772
pc,121,0.19273414586641485
3.0,127,2.960503581670247
portatile,130,0.5696258815305232
3.0,140,2.960503581670247
portatile,157,0.5696258815305232
laptop,157,0.7805208107685337
affari,158,3.733693469903729
reversibile,175,4.426840650463674
titanwolf,182,9.664611517143678
telefono,186,5.5254529391317835
probook,190,3.9160150266976834
casa,208,3.733693469903729
bundle,223,5.5254529391317835
acer,224,3.2228678461377385
mouse,4,1.8878667794053983
n4020,9,3.9160150266976834
pc,16,0.19273414586641485
chromebook,33,3.1275576663334133
core,45,1.4824016712972337
wifi,45,1.7412633052135227
a515,56,5.5254529391317835
i5,64,1.811880872427476
g2,100,4.426840650463674
ram,101,0.8249725733393676
desktop,116,1.8618912930021374
6,123,1.4650099285853646
nero,148,1.6968115426426889
hp,149,1.4311083769096833
porta,155,1.8618912930021374
supporto,161,2.3899587232026342
appoggio,180,5.5254529391317835
45w,190,4.832305758571839
caricabatterie,192,4.139158578011894
tuf,215,5.5254529391317835
7500,234,5.5254529391317835
fisso,234,2.6922395950755678
22,243,4.426840650463674
memoria,6,3.2228678461377385
ram,13,0.8249725733393676
blue,27,4.832305758571839
15.6,28,1.8365734850178477
studenti,29,5.5254529391317835
mouse,40,1.8878667794053983
ips,45,3.1275576663334133
8gb,47,2.0597170363320574
win,49,2.1932484289565797
6200u,52,4.832305758571839
acer,56,3.2228678461377385
digitale,59,4.426840650463674
uso,64,2.347399108783838
ricondizionato,69,1.7642528234382215
250,79,3.2228678461377385
dual,84,2.817402738029574
pc,92,0.3854682917328297
12th,92,4.139158578011894
monitor,96,2.480930501408361
512gb,100,1.9701048776423702
pro,102,1.1434263044579023
arc,103,5.5254529391317835
16,105,1.9990924145156226
office,107,2.1242555574696285
core,110,1.4824016712972337
pc,113,0.19273414586641485
tf,118,3.2228678461377385
6,122,1.4650099285853646
computer,147,0.6201781606933544
anni,172,4.426840650463674
asus,178,3.0405462893437836
laptop,183,0.7805208107685337
borsa,194,3.000202496793269
ram,211,0.8249725733393676
